,0
v940,0.038389735544830245
v183,0.03251380952126199
v277,0.020335265249825873
v428,0.0155880155804573
v125,0.015152542396727666
v883,0.013321524214008245
v411,0.012056720159830198
v086,0.011895094082030813
v445,0.011656116172258877
v121,0.010441742394339393
v969,0.00979598170212543
v583,0.008725831347377354
v914,0.007988777553503553
v326,0.007988652087830487
v833,0.00793466971400824
v739,0.00750286348005608
v569,0.007464835697213548
v602,0.007355750679481096
v724,0.007208867678106585
v786,0.006390674229787625
v153,0.0063199978497038905
v062,0.006288632744240002
v203,0.006175438970699426
v704,0.0060699408898896535
v596,0.005301441888000765
v222,0.005240531403736476
v943,0.005007771063477334
v560,0.004930697020366042
v418,0.004920023804157911
v131,0.004584756503817269
v689,0.00447703508741045
v239,0.004279018633385314
v169,0.0041403616019369555
v430,0.00403683970076096
v568,0.003837377389426182
v234,0.0037185216262568183
v457,0.0036916376225669526
v317,0.0035087453743571063
v599,0.0034775021428807974
v796,0.003370588351360988
v836,0.0033585007587051087
v787,0.0033482967874430987
v079,0.0033101893314386125
v698,0.0032618037438689883
v260,0.0032372676560022
v712,0.003204391604707465
v438,0.0031282690329003057
v284,0.0030477858732438474
v117,0.0030455986068094716
v185,0.002923739812294077
v938,0.002831446579254821
v495,0.002830913490134789
v177,0.002828571884500493
v886,0.0028242252720817877
v637,0.0028190135242727845
v903,0.0028188474932248067
v519,0.002814403211203173
v808,0.002782103413995152
v773,0.0027755046624523315
v619,0.0027703788423292255
v861,0.002742369832462557
v302,0.002741938269984394
v881,0.002740121250600863
v329,0.002724532713220589
v127,0.00270770755348742
v665,0.0027064489011447775
v737,0.00269784451099308
v546,0.0026956223623480265
v846,0.002689123251816733
v377,0.0026825144454476883
v263,0.002645532821251576
v360,0.0026160987535955873
v830,0.0026078015863811184
v154,0.0025953409103938708
v908,0.0025674588848297823
v288,0.0025526464994495746
v330,0.002524177603900248
v069,0.0025173259298637467
v423,0.0025141930783591344
v966,0.0025089308618299294
v414,0.002450397255698916
v332,0.0024153352672157823
v029,0.0024088963531240476
v483,0.0024067923580501213
v469,0.002382008650866529
v615,0.0023607705970498227
v412,0.0023586807406091514
v462,0.0023311010979164717
v261,0.0023255461916670984
v073,0.0023167310127511368
v763,0.0022995508700189393
v425,0.002297646587480584
v752,0.0022929739917868907
v122,0.002269866785015068
v720,0.0022546936936042095
v165,0.0022142699414077344
v673,0.0022123234120153454
v178,0.0021961275279037866
v675,0.0021805083941058533
v864,0.0021767234874921155
v221,0.002172547113688354
v270,0.002165585682465579
v400,0.0021589355458407596
v076,0.0021528233349641067
v066,0.002150395794047374
v967,0.0021489303325426938
v061,0.0021430556089754643
v890,0.0021236265287848397
v620,0.0021130639767730527
v208,0.0020894005306355467
v824,0.002081300679868823
v035,0.0020784693083150214
v356,0.0020679455703541787
v470,0.0020356382802905726
v324,0.002024635405784213
v318,0.002023702656607854
v613,0.002021742436354206
v570,0.0020182050135930676
v622,0.0020162229516329224
v340,0.0020134893559169823
v746,0.0020129782559249586
v670,0.002011417522181369
v811,0.0020036791106368304
v496,0.0019997500959676143
v083,0.0019911778965544693
v874,0.001991132177415517
v948,0.001973201892700095
v898,0.0019723164269455106
v798,0.001970437638334708
v331,0.0019675154075773273
v108,0.001958058394586197
v351,0.0019486185436726235
v417,0.0019482744425341847
v996,0.0019447568685030372
v408,0.0019446982330631856
v211,0.001931601426809377
v838,0.0019265183832203523
v928,0.001921374480480509
v171,0.0019197891432718973
v446,0.0019059117009629586
v802,0.0019057061428734369
v895,0.0018896678199223358
v979,0.0018836337311935055
v226,0.001880702308625564
v422,0.001875541720801076
v118,0.001874279171914304
v902,0.0018551029994239182
v283,0.0018512418453433212
v269,0.0018508802677837687
v586,0.0018374269466369581
v339,0.0018368394447888957
v202,0.0018250191594831656
v777,0.0018221259788528594
v455,0.0018128786755961484
v112,0.0018116907968610653
v543,0.0018085422814482566
v387,0.001803223472250561
v952,0.0018011758799654257
v629,0.001798690551839815
v434,0.0017979976347128148
v636,0.0017958286785324739
v314,0.0017947564765154998
v764,0.0017942322561696274
v316,0.0017900781203495243
v225,0.0017824857713695415
v090,0.001781946019999112
v476,0.001780084931017676
v160,0.001777792096986787
v341,0.0017727691176839015
v750,0.0017662554552741279
v116,0.0017583085059799102
v960,0.001755950903787335
v338,0.0017554209724399946
v070,0.0017547988755412935
v192,0.001751241498250659
v163,0.0017510719870206675
v539,0.001742976420411507
v548,0.0017396338434927357
v064,0.0017353895728803672
v542,0.0017315092930319102
v951,0.0017311619159439732
v722,0.0017211965629069215
v743,0.0017189696070547306
v674,0.0017168262696661174
v406,0.001715382674958256
v575,0.001715049954024727
v625,0.0017062595221956172
v512,0.0017008655157450463
v245,0.0016986730228608366
v391,0.0016965594861767673
v650,0.0016931648561856441
v170,0.0016920657681552666
v440,0.001688772567113406
v927,0.0016720675543482166
v854,0.0016668575063369993
v227,0.001659826467460921
v441,0.0016594320108510264
v784,0.0016567231535035054
v349,0.0016545007174091036
v623,0.0016523396657745929
v365,0.0016433400989531272
v834,0.0016349453287111313
v589,0.001629163760511047
v571,0.0016260259605489517
v467,0.001621215329415838
v290,0.001620143146010258
v378,0.0016176746772537322
v761,0.0016175778264612961
v008,0.001613693815496562
v168,0.001606654612835841
v352,0.0016019233284909247
v585,0.0016007336518520272
v702,0.0016000645656894456
v003,0.0015989564171215091
v279,0.0015970548732438848
v917,0.0015906429368292578
v900,0.0015883724801400412
v094,0.0015833793198712905
v911,0.0015813763969324437
v041,0.0015790109331780245
v717,0.0015764673539203251
v201,0.001573554297750569
v162,0.0015715936091395967
v792,0.0015580320328130713
v018,0.0015526930646254148
v111,0.0015510495076955797
v933,0.0015471495631494956
v464,0.0015444674513461836
v611,0.0015439283392312624
v693,0.001543786791335988
v831,0.00154054846748296
v020,0.0015401263507566546
v751,0.00153579968116024
v385,0.0015341741161498709
v266,0.0015321354275844988
v451,0.0015295783658609765
v989,0.0015225668462203192
v250,0.0015209513134284754
v089,0.0015197978073768462
v380,0.0015160038320552135
v103,0.0014980155794174917
v188,0.0014942083836369175
v904,0.0014884293846803996
v990,0.0014872215506084587
v877,0.0014790688665018217
v767,0.001478683156669967
v337,0.0014768603922334584
v591,0.0014734214817463435
v490,0.001472068713931746
v607,0.0014698220210642824
v755,0.0014638413959390507
v606,0.001463558219833916
v361,0.0014593737809125036
v439,0.0014588305114604423
v514,0.0014550596695300227
v667,0.0014432004231840845
v524,0.0014290897785121308
v860,0.0014289862244520515
v756,0.0014234069993568916
v487,0.0014112533105305474
v204,0.0014079654977252466
